-1 -1 -1 5 6 -1 -1 11 -1 14 -1 15 15 -1 -1 25 -1 29 -1 25 -1 -1 32 31 -1 -1 -1 32 39 -1 -1 41 41 48 42 43 44 -1 -1 -1 -1 53 -1 49 54 57 51 61 -1 58 -1 57 -1 -1 64 62 -1 -1 -1 68 -1 -1 -1 73 68 -1 -1 -1 -1 -1 -1 73 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 92 -1 -1 -1 89 -1 -1 94 -1 -1 95 -1 -1 49 63 49 91 
-2 -2 -2 -1 3 -2 -2 4 -2 7 -2 7 7 -2 -2 9 -2 19 -2 9 -2 -2 23 19 -2 -2 -2 19 27 -2 -2 -1 -1 35 31 34 32 -2 -2 -2 -2 103 -2 31 46 103 43 103 -2 43 -2 43 -2 -2 102 101 -2 -2 -2 102 -2 -2 -2 103 103 -2 -2 -2 -2 -2 -2 103 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 104 -2 -2 -2 101 -2 -2 102 -2 -2 104 -2 -1 -1 -1 -1 -1 
3 4 3 7 11 12 9 11 12 9 12 15 19 19 17 23 22 27 19 22 27 28 31 32 34 35 36 31 36 33 34 35 43 101 103 32 36 33 46 43 36 41 44 43 101 103 45 51 49 51 47 55 101 102 103 54 55 54 55 59 64 54 55 64 54 63 71 59 71 102 101 102 103 92 101 102 103 104 88 95 98 95 98 101 102 104 95 95 101 103 104 
5 6 8 11 15 15 16 18 18 19 21 25 25 28 29 31 32 32 34 35 38 39 41 41 42 43 44 47 47 48 48 49 49 49 49 50 50 51 51 52 53 53 54 55 56 56 57 57 58 60 61 62 63 63 63 64 65 67 68 68 68 70 71 71 73 73 73 74 76 77 84 84 84 89 91 91 91 91 92 94 95 97 98 98 98 98 100 103 105 105 105 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 

